generation 1000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	347	0	10	0.344828	none	
TimeSizeRateMixer	282	253	6	0.206897	0.201439	
TimeRootSizeMixer	403	244	6	0.206897	0.238145	
EventTimeScaler	1302	978	1	0.0344828	0.309052	
RootPopulationSizeScaler0	260	191	1	0.0344828	0.299959	
LeafPopulationSizeScaler0	309	148	1	0.0344828	0.350138	
RootPopulationSizeScaler1	237	217	1	0.0344828	0.289263	
LeafPopulationSizeScaler1	240	218	1	0.0344828	0.372581	
RootPopulationSizeScaler2	248	197	1	0.0344828	0.284113	
LeafPopulationSizeScaler2	292	154	1	0.0344828	0.326466	
generation 2000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	683	0	10	0.344828	none	
TimeSizeRateMixer	601	588	6	0.206897	0.209696	
TimeRootSizeMixer	721	553	6	0.206897	0.253434	
EventTimeScaler	2496	2157	1	0.0344828	0.322647	
RootPopulationSizeScaler0	476	430	1	0.0344828	0.314555	
LeafPopulationSizeScaler0	597	319	1	0.0344828	0.404224	
RootPopulationSizeScaler1	477	446	1	0.0344828	0.305485	
LeafPopulationSizeScaler1	460	464	1	0.0344828	0.380947	
RootPopulationSizeScaler2	475	428	1	0.0344828	0.292389	
LeafPopulationSizeScaler2	536	374	1	0.0344828	0.359887	
generation 3000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	996	0	10	0.344828	none	
TimeSizeRateMixer	957	934	6	0.206897	0.215848	
TimeRootSizeMixer	1041	893	6	0.206897	0.25884	
EventTimeScaler	3722	3304	1	0.0344828	0.333179	
RootPopulationSizeScaler0	688	717	1	0.0344828	0.317014	
LeafPopulationSizeScaler0	888	513	1	0.0344828	0.43394	
RootPopulationSizeScaler1	711	701	1	0.0344828	0.30874	
LeafPopulationSizeScaler1	690	717	1	0.0344828	0.385938	
RootPopulationSizeScaler2	697	691	1	0.0344828	0.295125	
LeafPopulationSizeScaler2	817	585	1	0.0344828	0.379813	
generation 4000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1345	0	10	0.344828	none	
TimeSizeRateMixer	1275	1252	6	0.206897	0.219132	
TimeRootSizeMixer	1336	1186	6	0.206897	0.263492	
EventTimeScaler	4916	4468	1	0.0344828	0.339818	
RootPopulationSizeScaler0	904	952	1	0.0344828	0.321055	
LeafPopulationSizeScaler0	1136	707	1	0.0344828	0.450918	
RootPopulationSizeScaler1	916	940	1	0.0344828	0.309896	
LeafPopulationSizeScaler1	912	940	1	0.0344828	0.390261	
RootPopulationSizeScaler2	901	931	1	0.0344828	0.295782	
LeafPopulationSizeScaler2	1057	781	1	0.0344828	0.391835	
generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	1687	0	10	0.344828	none	
TimeSizeRateMixer	1580	1565	6	0.206897	0.222135	
TimeRootSizeMixer	1709	1500	6	0.206897	0.268586	
