parameter	burnin	psrf	ess_concat	ess_0	ess_1	ess_2	ess_3	ess_4
ln_likelihood	1	0.9996718298080616	544.83812617836	128.0220315533848	110.77479769749003	100.23258688965505	89.74619783588636	84.17462552481085
ln_likelihood_BabuyanClaro0	1	0.9997126046760217	471.4347651854131	101.8543106250678	98.61345643039287	85.56473907655352	81.51539910287165	79.5021698237967
root_height_BabuyanClaro0	1	0.9997349610130617	4293.45458940657	864.7471590909591	1130.9439405480582	1200.0	1133.020678256452	443.95073747250916
pop_size_BabuyanClaro0	1	0.9996477648864681	378.5927109790566	70.07180874793599	83.23186648475016	73.71992196961398	66.60913638711553	70.1907800577018
pop_size_Calayan0	1	0.9996746810570152	446.08399837985263	82.53364189995752	108.3964045130691	82.14481399035833	77.43527873866759	79.73646141452966
pop_size_root_BabuyanClaro0	1	0.9996885278866667	478.2794384160087	87.12086722905866	127.23423590108139	91.07756150449401	83.027979089002	87.09842991219581
ln_likelihood_MaestreDeCampo1	1	0.9998095174163543	619.1494830240525	138.48306845427217	138.67513148951713	139.66958252654086	94.9435403225177	101.71674680739402
root_height_MaestreDeCampo1	1	1.0001078672884935	2453.1551890243695	532.8275599054966	411.59692843054034	665.9738554433538	350.1508245814813	473.4857198985355
pop_size_MaestreDeCampo1	1	0.9999581119638229	541.0463899852215	120.73472705680472	115.02737205759941	130.315955708418	86.7595120801045	92.85765685014218
pop_size_Masbate1	1	1.000619860914943	557.3712365836279	92.70236653159739	148.18611112254743	121.71852798019788	84.92198373649993	105.35572060860332
pop_size_root_MaestreDeCampo1	1	1.0003115240583322	658.573352568673	124.20560293459127	155.5491000163483	130.74122310079684	93.51422375106957	145.6162029762765
ln_likelihood_CamiguinNorte2	1	0.9996507686463828	649.5753937354652	174.55609359309128	112.63384321069509	108.34179375695238	108.46376059462875	79.65612128349892
root_height_CamiguinNorte2	1	1.0009169726650857	1568.8343997232928	366.1333418227705	191.91917240740685	209.2531275069778	225.89788423830498	171.5145010619784
pop_size_CamiguinNorte2	1	1.0007748574439566	787.0254606865235	206.1587405669445	214.83523243127107	130.68967714827366	112.46098206274573	135.95915101172307
pop_size_Dalupiri2	1	0.9997456829156537	386.45285931882177	77.12098588020474	78.05482733117405	69.78490177738469	70.89287257646701	64.82497509368918
pop_size_root_CamiguinNorte2	1	0.9998147110642726	821.8808354745464	188.65848469357152	167.78096099770292	155.14204109640548	137.8732305167586	131.76663054380288
ln_likelihood	100	1.000162163262242	1863.8673826823783	284.4205989254268	625.4726223257311	720.8948518759862	514.5825439263836	695.4222939881354
ln_likelihood_BabuyanClaro0	100	1.000431853382644	2430.929313654443	472.86694134382435	615.835000310149	648.5134428319856	446.64907685416256	661.854193728833
root_height_BabuyanClaro0	100	1.0008076466702212	3618.417081714014	567.9447967642319	731.0413529502104	1063.5246819882889	1101.0	701.1798319892908
pop_size_BabuyanClaro0	100	1.0005450799715376	2645.0394512460634	551.5751274126771	559.0803877236925	929.0732805811432	377.58650269082574	441.33814556405343
pop_size_Calayan0	100	0.9999038325000156	2930.4614053607097	492.66879967386797	628.380168345208	422.56615388766323	593.9257126271265	571.1177262294739
pop_size_root_BabuyanClaro0	100	1.0006192779969525	2764.4898819073906	664.6728423498421	611.7675344870403	485.86093510455964	355.9482181514091	478.2023736744735
ln_likelihood_MaestreDeCampo1	100	1.000829344664024	2968.2286918370046	714.6892949828061	658.9842295808295	1035.7822607295109	734.3576373282011	650.4927157990993
root_height_MaestreDeCampo1	100	1.0001705645040355	4605.0104103446265	829.6567027122018	814.8971676343617	1101.0	685.6127283952825	1016.1532117262457
pop_size_MaestreDeCampo1	100	1.0002723839709777	2619.762306189056	983.7592612316188	639.4767621678166	555.9803130958551	495.6049177884973	743.278091217962
pop_size_Masbate1	100	1.0032110611334895	2963.3693930216773	620.2257623842315	635.1426754407164	680.7419597205691	745.5612171845967	792.8616999957327
pop_size_root_MaestreDeCampo1	100	1.0014563700141992	3580.7257239069577	907.7823651811004	690.7338844206774	470.6544990349979	1023.9655957714452	675.9848750148338
ln_likelihood_CamiguinNorte2	100	1.0024193048262842	1595.6409665347687	227.02154784123488	739.2373912088261	452.44359398543816	663.5525090227069	399.3208337298672
root_height_CamiguinNorte2	100	1.0021697632417734	1288.5115351514848	195.37687227478324	303.67078552270715	379.2001976194163	632.6884866515339	264.02137941998944
pop_size_CamiguinNorte2	100	1.0010844169239852	1937.5007330602182	433.9696278899506	241.8345818765228	318.90192972991025	505.34208870339955	266.4939942381277
pop_size_Dalupiri2	100	1.0012946499215452	1014.7991655889816	231.62774066441872	267.7606951209881	223.31878886569004	314.2154442689113	184.41923728803573
pop_size_root_CamiguinNorte2	100	1.0004853201061152	3615.2896108564028	476.1896128686796	358.4759281292107	664.1109109547402	726.8763174969064	519.0181183517378
ln_likelihood	200	1.0004164070639168	1966.779128938238	289.419145860919	551.6768495081537	623.6834278639951	358.54541216820184	482.9914791405309
ln_likelihood_BabuyanClaro0	200	1.0002642837150308	2366.4420907615795	348.9981077100957	577.2925217860175	772.1967146313388	402.4988676589353	683.1364498033275
root_height_BabuyanClaro0	200	1.0005922635477915	3449.14552115265	404.6733245659848	734.0599168854487	1001.0	968.9662496375769	553.4359209887791
pop_size_BabuyanClaro0	200	1.0006371776431475	2197.5245074886593	528.3441730748364	535.2103727848828	763.0312912028425	379.8633183378434	389.18663407153343
pop_size_Calayan0	200	0.9997047360631087	2481.7090845363955	653.7547533611802	505.365600064781	415.7477921780476	517.884942270602	506.17324429474706
pop_size_root_BabuyanClaro0	200	1.0001678134508927	2213.5844039625863	545.6902446757331	539.7483339524055	552.7509205777822	345.6113564375424	623.5569624022008
ln_likelihood_MaestreDeCampo1	200	1.0010857555501593	2375.3352163430854	595.1915317685053	714.0211979758058	541.6528560953141	567.1537209455868	638.6289970684616
root_height_MaestreDeCampo1	200	1.0000413740793181	4734.878230337575	910.5661936927356	958.1848593693085	1001.0	659.6971104171902	987.0360365039518
pop_size_MaestreDeCampo1	200	1.000533275769547	2105.596254092375	666.8572123634075	598.481610958875	440.2182976822313	334.72673018938707	677.3178535218624
pop_size_Masbate1	200	1.0023784190726217	2946.160594954814	510.92704363457426	394.39342234967535	683.1031149040044	640.8785764339945	542.6785865381318
pop_size_root_MaestreDeCampo1	200	1.0017183533753977	2792.7874535399374	518.1241467329158	682.278236609943	629.9311999570607	988.8499369159576	778.826328388768
